NEAREST OBJECT: [2.374332486110873, 1.3270840138830593]
NEAREST OBJECT: [-0.6158044693266346, -0.7121221210588764]
NEAREST OBJECT: [-0.5932592088613862, -0.6850680537401047]
NEAREST OBJECT: [-0.5736968465202634, -0.6578149069129896]
NEAREST OBJECT: [-0.554269470077196, -0.6473212860678936]
NEAREST OBJECT: [-0.5420077356014013, -0.6387121960649537]
NEAREST OBJECT: [-0.5320779930142742, -0.6222656888848496]
NEAREST OBJECT: [-0.4975768138957093, -0.5930200664129455]
NEAREST OBJECT: [-0.48021944255509846, -0.577235645302385]
NEAREST OBJECT: [-0.30832312965888936, -0.5512646474438984]
NEAREST OBJECT: [-0.09450895532270337, -0.5257763085082768]
NEAREST OBJECT: [0.10554819314230046, -0.3661086879764631]
NEAREST OBJECT: [0.16673565471726995, -0.15129290635855294]
NEAREST OBJECT: [0.17257285777007078, -0.12698981007364274]
NEAREST OBJECT: [0.2570487059608123, -0.05720107636909611]
NEAREST OBJECT: [0.36161566137961143, 0.13075498451954684]
NEAREST OBJECT: [0.3936861656512281, 0.35641794987053793]
NEAREST OBJECT: [0.41145482233287256, 0.7090345611704292]
NEAREST OBJECT: [0.51669463206906, 1.03507757404514]
NEAREST OBJECT: [0.6789063882251327, 1.296773578563636]
NEAREST OBJECT: [0.8470304444528447, 1.4869288791423356]
NEAREST OBJECT: [1.0888985864251286, 1.494181628511734]
NEAREST OBJECT: [1.3454937798414965, 1.37856412295965]
NEAREST OBJECT: [1.5023963323500495, 1.1981057935242676]
NEAREST OBJECT: [1.73802394350365, 0.9921310701210435]
NEAREST OBJECT: [1.785277206485243, 0.7580372690574839]
NEAREST OBJECT: [1.7034141855341864, 0.41237283137450054]
NEAREST OBJECT: [1.7034141855341864, 0.41237283137450054]
NEAREST OBJECT: [1.5974431358420296, -0.29191914026448096]
NEAREST OBJECT: [1.35261613414905, -0.5858784389376318]
NEAREST OBJECT: [1.186918510028657, -0.8033028729998978]
NEAREST OBJECT: [1.0007796320172129, -1.0549606020312674]
NEAREST OBJECT: [0.6937111169031233, -1.10082355764665]
NEAREST OBJECT: [0.3945480983375181, -1.1108329205992804]
NEAREST OBJECT: [0.08461326313104062, -1.1418244117055139]
NEAREST OBJECT: [-0.09653126213827141, -1.0947076943104994]
NEAREST OBJECT: [-0.2842965139064901, -0.8609603585033085]
NEAREST OBJECT: [-0.43229395329809356, -0.7468486533004576]
NEAREST OBJECT: [-0.6413475863211755, -0.633159101571077]
