NEAREST OBJECT: [2.37691877047562, 1.1067507506763652]
NEAREST OBJECT: [-0.33193287577607117, -1.110237076313721]
NEAREST OBJECT: [-0.3237698384716986, -1.1084714985675435]
NEAREST OBJECT: [-0.3331059043949837, -1.1131732415308317]
NEAREST OBJECT: [-0.32551585344339623, -1.1140982727129063]
NEAREST OBJECT: [-0.3303811165411063, -1.120569406603154]
NEAREST OBJECT: [-0.3299217569058008, -1.1193301340534276]
NEAREST OBJECT: [-0.32745139362548065, -1.1127635594735559]
NEAREST OBJECT: [-0.33782744280410515, -1.120699883998416]
NEAREST OBJECT: [-0.3404500640456272, -1.1153476267004367]
NEAREST OBJECT: [-0.3309087099292585, -1.107497392024153]
NEAREST OBJECT: [-0.324092480433453, -1.1152038662259594]
NEAREST OBJECT: [-0.3456084358011582, -1.1232944111945633]
NEAREST OBJECT: [-0.3365904317411799, -1.1233208361792113]
NEAREST OBJECT: [-0.3203591659627974, -1.1129332850853901]
NEAREST OBJECT: [-0.3217790264687168, -1.1131799201503139]
NEAREST OBJECT: [-0.3205129262489795, -1.1126879007001529]
NEAREST OBJECT: [-0.3322034939218366, -1.1178301133043125]
NEAREST OBJECT: [-0.3168620586000777, -1.110188560767365]
NEAREST OBJECT: [-0.30305540947912507, -1.1078091478392191]
NEAREST OBJECT: [-0.19013486201332996, -1.0411868036706182]
NEAREST OBJECT: [-0.06413041280612468, -0.9602980287171899]
NEAREST OBJECT: [0.055487739566179146, -0.7978341406219374]
NEAREST OBJECT: [0.15741626312389617, -0.5845068672633055]
NEAREST OBJECT: [0.2407407120861047, -0.3353742932031503]
NEAREST OBJECT: [0.34768148679828326, -0.19975871140390541]
NEAREST OBJECT: [0.48376711222006696, -0.08501527311932615]
NEAREST OBJECT: [0.49488709891764865, 0.04618088533460343]
NEAREST OBJECT: [0.5463113906894547, 0.16844027685711396]
NEAREST OBJECT: [0.5232250787672427, 0.2904046662861363]
NEAREST OBJECT: [0.4938990809360192, 0.4021437990434871]
NEAREST OBJECT: [0.43170085192573787, 0.5877578565492944]
NEAREST OBJECT: [0.35328031681181077, 0.7654256323996087]
NEAREST OBJECT: [0.25548125916304987, 0.8991537397395184]
NEAREST OBJECT: [0.14086959800433727, 1.0461317677806086]
NEAREST OBJECT: [0.049180583126590925, 1.2028925272766093]
NEAREST OBJECT: [0.002307063893495602, 1.3053502615424044]
NEAREST OBJECT: [-0.11477220965260003, 1.3497080918791742]
NEAREST OBJECT: [-0.285070320579048, 1.382194904877728]
NEAREST OBJECT: [-0.4120518335984285, 1.3650367084635018]
NEAREST OBJECT: [-0.5232905152992005, 1.4477254053099475]
NEAREST OBJECT: [-0.7440189309885054, 1.569713866488725]
NEAREST OBJECT: [-0.9167398068991255, 1.6602306833722829]
NEAREST OBJECT: [-0.9416619578979883, 1.7320632559050313]
NEAREST OBJECT: [-0.9075202093579292, 1.8213200569961605]
NEAREST OBJECT: [-0.8465300359374367, 1.99076404422702]
NEAREST OBJECT: [-0.8239819003397444, 2.1279872571527547]
NEAREST OBJECT: [-0.8458965959794436, 2.2274153061447537]
NEAREST OBJECT: [-0.8420839973327131, 2.345577822741168]
NEAREST OBJECT: [-0.8137806463031905, 2.3929662319649134]
NEAREST OBJECT: [-0.7156014156732949, 2.424229871263063]
NEAREST OBJECT: [-0.5227646077994537, 2.4516578692320206]
NEAREST OBJECT: [-0.3915739250711282, 2.466660300714342]
NEAREST OBJECT: [-0.31840392848662896, 2.467933213104788]
NEAREST OBJECT: [-0.1620205522872951, 2.395663008573108]
NEAREST OBJECT: [-0.048409793703044456, 2.3456621061854483]
NEAREST OBJECT: [0.06002290112998127, 2.3633646351799475]
NEAREST OBJECT: [0.2601181441420944, 2.402914346880281]
NEAREST OBJECT: [0.3926725881081852, 2.4068560732522237]
NEAREST OBJECT: [0.45955185142767385, 2.3497426286161347]
NEAREST OBJECT: [0.5803179309148618, 2.194724095192303]
NEAREST OBJECT: [0.665873133372506, 2.092414097768145]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
NEAREST OBJECT: [0.7864969575044629, 1.956559110992148]
